frame,seq,t_mono,x,y,contrast,moat,crowd
768,768,343.357297,709,608,110,70,4
769,769,343.397373,704,606,128,86,2
770,770,343.437224,701,604,169,128,3
771,771,343.477262,701,600,124,74,3
772,772,343.517269,704,596,87,33,1
773,773,343.557266,708,592,80,45,1
774,774,343.597132,715,583,61,25,1
775,775,343.637119,719,572,67,7,3
776,776,343.677258,722,562,82,43,1
777,777,343.717157,727,552,81,28,1
778,778,343.757141,731,542,53,4,4
779,779,343.797393,732,529,88,45,4
780,780,343.837156,732,519,102,56,2
781,781,343.877072,729,513,112,56,4
782,782,343.917018,730,507,91,24,2
783,783,343.956891,732,503,116,32,1
784,784,343.997015,731,501,103,40,4
785,785,344.036945,728,498,98,42,4
786,786,344.077081,728,496,134,100,1
787,787,344.117096,730,495,143,101,2
788,788,344.157031,729,495,121,85,3
789,789,344.196932,725,496,181,103,3
790,790,344.236933,723,498,140,94,3
791,791,344.276776,723,499,134,81,4
792,792,344.316788,723,499,154,107,4
793,793,344.357021,721,502,140,78,3
794,794,344.396950,718,506,98,42,3
795,795,344.436812,719,510,131,93,3
796,796,344.476799,716,516,134,87,2
797,797,344.516680,709,520,79,44,3
798,798,344.556807,703,524,138,88,3
799,799,344.596812,697,534,75,21,2
800,800,344.636713,689,544,56,21,2
801,801,344.676797,679,554,55,25,2
802,802,344.716719,671,562,74,29,2
803,803,344.756756,667,568,172,117,2
804,804,344.796804,663,574,168,122,3
805,805,344.836721,659,578,165,125,3
806,806,344.876717,657,581,86,35,1
807,807,344.916720,658,584,133,84,4
808,808,344.956739,660,585,141,110,3
809,809,344.996711,663,586,147,108,3
810,810,345.036700,664,587,155,121,3
811,811,345.076817,667,586,186,120,3
812,812,345.116827,669,584,168,110,2
813,813,345.156719,673,582,158,109,3
814,814,345.196471,675,580,191,135,3
815,815,345.236489,675,579,174,117,4
816,816,345.276456,679,578,139,99,3
817,817,345.316629,683,576,190,130,3
818,818,345.356357,685,574,141,81,4
819,819,345.396483,687,570,125,27,3
820,820,345.436680,693,568,113,71,4
821,821,345.476504,698,568,121,63,4
822,822,345.516636,701,568,172,115,4
823,823,345.556349,700,569,170,120,2
824,824,345.596410,699,568,186,116,4
825,825,345.636252,701,571,154,112,2
826,826,345.676449,703,573,170,123,4
827,827,345.716505,703,575,160,106,3
828,828,345.756395,703,581,114,29,3
829,829,345.796282,705,586,152,104,2
830,830,345.836367,707,592,137,87,3
831,831,345.876381,707,600,99,33,2
832,832,345.916367,705,612,67,18,2
833,833,345.956289,699,626,80,31,1
834,834,345.996406,696,642,68,26,2
835,835,346.036303,693,656,55,25,2
836,836,346.076275,689,670,66,33,4
837,837,346.116300,685,684,89,28,1
838,838,346.156271,683,694,63,13,1
840,840,346.236258,685,714,82,17,3
841,841,346.276328,687,720,133,77,3
842,842,346.316063,689,718,130,91,1
843,843,346.356193,693,710,150,90,3
844,844,346.396270,697,703,88,59,3
845,845,346.436139,701,697,103,71,2
846,846,346.475902,705,690,88,40,2
847,847,346.515917,706,685,128,72,3
848,848,346.555915,706,684,171,107,5
849,849,346.595935,707,682,172,144,4
850,850,346.635934,711,681,152,113,4
851,851,346.676105,715,680,150,107,3
852,852,346.716196,716,680,152,101,3
853,853,346.755913,717,678,190,151,3
854,854,346.795804,722,676,136,105,3
855,855,346.835800,726,675,106,67,3
856,856,346.875808,728,675,134,103,4
857,857,346.915850,729,675,159,110,3
858,858,346.956146,730,676,178,132,2
859,859,346.995827,732,676,126,72,4
860,860,347.035943,733,677,179,134,3
861,861,347.075948,738,677,136,96,2
862,862,347.115696,741,676,168,131,6
863,863,347.155729,745,674,190,135,5
864,864,347.195728,746,672,135,87,1
865,865,347.235738,748,669,163,115,2
866,866,347.275691,752,667,148,107,3
867,867,347.315830,755,666,133,78,3
868,868,347.355708,755,666,191,138,3
869,869,347.395640,755,666,149,103,4
870,870,347.435685,755,668,191,145,2
871,871,347.475491,757,670,155,122,3
872,872,347.515477,758,675,106,31,2
873,873,347.555469,758,677,144,95,3
874,874,347.595576,760,678,144,113,4
875,875,347.635617,760,681,169,120,3
876,876,347.675733,761,682,163,103,4
877,877,347.715620,767,682,96,44,3
880,880,347.835359,808,669,70,37,4
883,883,347.955561,833,660,128,79,3
884,884,347.995538,834,658,155,108,3
885,885,348.035503,834,655,126,72,4
886,886,348.075454,833,652,163,102,3
